address_gu,gu_old,gu_male_old,gu_female_old,year,month
중구,11098,4759,6339,2020,5
서구,26702,11276,15426,2020,5
동구,23069,9617,13452,2020,5
영도구,30833,13087,17746,2020,5
부산진구,68930,29678,39252,2020,5
동래구,48461,21458,27003,2020,5
남구,52841,23013,29828,2020,5
북구,47452,20936,26516,2020,5
해운대구,68423,29397,39026,2020,5
사하구,57796,25651,32145,2020,5
금정구,47770,20809,26961,2020,5
강서구,15776,7414,8362,2020,5
연제구,39164,17303,21861,2020,5
수영구,36688,15869,20819,2020,5
사상구,37748,16931,20817,2020,5
기장군,26270,11216,15054,2020,5
중구,11136,4774,6362,2020,6
서구,26808,11326,15482,2020,6
동구,23131,9628,13503,2020,6
영도구,30909,13128,17781,2020,6
부산진구,69294,29839,39455,2020,6
동래구,48673,21549,27124,2020,6
남구,52992,23081,29911,2020,6
북구,47772,21088,26684,2020,6
해운대구,68676,29503,39173,2020,6
사하구,58019,25727,32292,2020,6
금정구,47928,20867,27061,2020,6
강서구,15921,7495,8426,2020,6
연제구,39328,17346,21982,2020,6
수영구,36869,15930,20939,2020,6
사상구,37903,17007,20896,2020,6
기장군,26480,11315,15165,2020,6
중구,11151,4781,6370,2020,7
서구,26842,11322,15520,2020,7
동구,23218,9668,13550,2020,7
영도구,30999,13176,17823,2020,7
부산진구,69517,29927,39590,2020,7
동래구,48874,21625,27249,2020,7
남구,53072,23101,29971,2020,7
북구,47928,21151,26777,2020,7
해운대구,68893,29586,39307,2020,7
사하구,58252,25834,32418,2020,7
금정구,48002,20898,27104,2020,7
강서구,15950,7522,8428,2020,7
연제구,39435,17381,22054,2020,7
수영구,36969,15967,21002,2020,7
사상구,38012,17066,20946,2020,7
기장군,26661,11395,15266,2020,7
중구,11183,4791,6392,2020,8
서구,26920,11364,15556,2020,8
동구,23269,9694,13575,2020,8
영도구,31092,13206,17886,2020,8
부산진구,69722,30032,39690,2020,8
동래구,49074,21696,27378,2020,8
남구,53233,23171,30062,2020,8
북구,48097,21208,26889,2020,8
해운대구,69178,29706,39472,2020,8
사하구,58480,25934,32546,2020,8
금정구,48106,20910,27196,2020,8
강서구,16018,7569,8449,2020,8
연제구,39579,17450,22129,2020,8
수영구,37054,16005,21049,2020,8
사상구,38154,17118,21036,2020,8
기장군,26842,11492,15350,2020,8
중구,11230,4803,6427,2020,9
서구,27017,11407,15610,2020,9
동구,23343,9709,13634,2020,9
영도구,31185,13240,17945,2020,9
부산진구,69941,30130,39811,2020,9
동래구,49281,21767,27514,2020,9
남구,53448,23288,30160,2020,9
북구,48359,21347,27012,2020,9
해운대구,69469,29820,39649,2020,9
사하구,58775,26059,32716,2020,9
금정구,48288,20998,27290,2020,9
강서구,16151,7626,8525,2020,9
연제구,39825,17561,22264,2020,9
수영구,37155,16052,21103,2020,9
사상구,38347,17201,21146,2020,9
기장군,27047,11589,15458,2020,9
중구,11276,4813,6463,2020,10
서구,27110,11451,15659,2020,10
동구,23403,9736,13667,2020,10
영도구,31290,13287,18003,2020,10
부산진구,70157,30237,39920,2020,10
동래구,49528,21868,27660,2020,10
남구,53606,23343,30263,2020,10
북구,48650,21484,27166,2020,10
해운대구,69791,29960,39831,2020,10
사하구,59040,26181,32859,2020,10
금정구,48476,21059,27417,2020,10
강서구,16338,7724,8614,2020,10
연제구,40045,17671,22374,2020,10
수영구,37336,16130,21206,2020,10
사상구,38567,17303,21264,2020,10
기장군,27220,11664,15556,2020,10
중구,11450,4863,6587,2021,5
서구,27162,11530,15632,2021,5
동구,23590,9836,13754,2021,5
영도구,31441,13361,18080,2021,5
부산진구,70877,30675,40202,2021,5
동래구,50475,22260,28215,2021,5
남구,54301,23628,30673,2021,5
북구,50359,22361,27998,2021,5
해운대구,71734,30909,40825,2021,5
사하구,60407,26868,33539,2021,5
금정구,49328,21468,27860,2021,5
강서구,17016,8015,9001,2021,5
연제구,40997,18147,22850,2021,5
수영구,38179,16478,21701,2021,5
사상구,39699,17772,21927,2021,5
기장군,28436,12218,16218,2021,5
중구,11455,4865,6590,2021,6
서구,27263,11583,15680,2021,6
동구,23658,9839,13819,2021,6
영도구,31543,13402,18141,2021,6
부산진구,71065,30758,40307,2021,6
동래구,50625,22310,28315,2021,6
남구,54456,23708,30748,2021,6
북구,50730,22548,28182,2021,6
해운대구,71876,31020,40856,2021,6
사하구,60616,26975,33641,2021,6
금정구,49476,21537,27939,2021,6
강서구,17120,8059,9061,2021,6
연제구,41160,18202,22958,2021,6
수영구,38273,16494,21779,2021,6
사상구,39821,17838,21983,2021,6
기장군,28570,12281,16289,2021,6
중구,11084,4710,6374,2021,7
서구,27299,11583,15716,2021,7
동구,23671,9848,13823,2021,7
영도구,31628,13453,18175,2021,7
부산진구,71226,30842,40384,2021,7
동래구,50728,22335,28393,2021,7
남구,54540,23728,30812,2021,7
북구,51002,22680,28322,2021,7
해운대구,72061,31096,40965,2021,7
사하구,60768,27034,33734,2021,7
금정구,49540,21561,27979,2021,7
강서구,17186,8093,9093,2021,7
연제구,41265,18240,23025,2021,7
수영구,38352,16516,21836,2021,7
사상구,39954,17904,22050,2021,7
기장군,28664,12325,16339,2021,7
중구,11124,4733,6391,2021,8
서구,27376,11622,15754,2021,8
동구,23686,9844,13842,2021,8
영도구,31720,13504,18216,2021,8
부산진구,71404,30938,40466,2021,8
동래구,50937,22440,28497,2021,8
남구,54652,23775,30877,2021,8
북구,51223,22792,28431,2021,8
해운대구,72238,31184,41054,2021,8
사하구,60943,27099,33844,2021,8
금정구,49706,21649,28057,2021,8
강서구,17301,8145,9156,2021,8
연제구,41410,18307,23103,2021,8
수영구,38485,16580,21905,2021,8
