"시점","구군별(1)","연령별(1)",계,남자,여자
"2020.01","중구","65세 이상",10923,4676,6247
"2020.01","서구","65세 이상",26299,11126,15173
"2020.01","동구","65세 이상",22600,9439,13161
"2020.01","영도구","65세 이상",30318,12888,17430
"2020.01","부산진구","65세 이상",67692,29166,38526
"2020.01","동래구","65세 이상",47345,21001,26344
"2020.01","남구","65세 이상",52161,22738,29423
"2020.01","북구","65세 이상",46355,20505,25850
"2020.01","해운대구","65세 이상",67078,28768,38310
"2020.01","사하구","65세 이상",56558,25049,31509
"2020.01","금정구","65세 이상",47039,20515,26524
"2020.01","강서구","65세 이상",15449,7250,8199
"2020.01","연제구","65세 이상",38247,16895,21352
"2020.01","수영구","65세 이상",36007,15603,20404
"2020.01","사상구","65세 이상",36807,16474,20333
"2020.01","기장군","65세 이상",25584,10898,14686
"2020.02","중구","65세 이상",10985,4705,6280
"2020.02","서구","65세 이상",26380,11142,15238
"2020.02","동구","65세 이상",22704,9482,13222
"2020.02","영도구","65세 이상",30465,12944,17521
"2020.02","부산진구","65세 이상",68061,29327,38734
"2020.02","동래구","65세 이상",47705,21145,26560
"2020.02","남구","65세 이상",52380,22821,29559
"2020.02","북구","65세 이상",46686,20642,26044
"2020.02","해운대구","65세 이상",67471,28965,38506
"2020.02","사하구","65세 이상",56979,25252,31727
"2020.02","금정구","65세 이상",47279,20618,26661
"2020.02","강서구","65세 이상",15575,7306,8269
"2020.02","연제구","65세 이상",38546,17028,21518
"2020.02","수영구","65세 이상",36220,15704,20516
"2020.02","사상구","65세 이상",37126,16635,20491
"2020.02","기장군","65세 이상",25797,10997,14800
"2020.03","중구","65세 이상",11062,4736,6326
"2020.03","서구","65세 이상",26604,11241,15363
"2020.03","동구","65세 이상",22951,9573,13378
"2020.03","영도구","65세 이상",30712,13035,17677
"2020.03","부산진구","65세 이상",68609,29536,39073
"2020.03","동래구","65세 이상",48250,21384,26866
"2020.03","남구","65세 이상",52688,22970,29718
"2020.03","북구","65세 이상",47188,20844,26344
"2020.03","해운대구","65세 이상",68063,29239,38824
"2020.03","사하구","65세 이상",57552,25539,32013
"2020.03","금정구","65세 이상",47580,20737,26843
"2020.03","강서구","65세 이상",15719,7385,8334
"2020.03","연제구","65세 이상",38935,17211,21724
"2020.03","수영구","65세 이상",36510,15798,20712
"2020.03","사상구","65세 이상",37496,16820,20676
"2020.03","기장군","65세 이상",26118,11149,14969
"2020.04","중구","65세 이상",11098,4759,6339
"2020.04","서구","65세 이상",26702,11276,15426
"2020.04","동구","65세 이상",23069,9617,13452
"2020.04","영도구","65세 이상",30833,13087,17746
"2020.04","부산진구","65세 이상",68930,29678,39252
"2020.04","동래구","65세 이상",48461,21458,27003
"2020.04","남구","65세 이상",52841,23013,29828
"2020.04","북구","65세 이상",47452,20936,26516
"2020.04","해운대구","65세 이상",68423,29397,39026
"2020.04","사하구","65세 이상",57796,25651,32145
"2020.04","금정구","65세 이상",47770,20809,26961
"2020.04","강서구","65세 이상",15776,7414,8362
"2020.04","연제구","65세 이상",39164,17303,21861
"2020.04","수영구","65세 이상",36688,15869,20819
"2020.04","사상구","65세 이상",37748,16931,20817
"2020.04","기장군","65세 이상",26270,11216,15054
"2020.05","중구","65세 이상",11136,4774,6362
"2020.05","서구","65세 이상",26808,11326,15482
"2020.05","동구","65세 이상",23131,9628,13503
"2020.05","영도구","65세 이상",30909,13128,17781
"2020.05","부산진구","65세 이상",69294,29839,39455
"2020.05","동래구","65세 이상",48673,21549,27124
"2020.05","남구","65세 이상",52992,23081,29911
"2020.05","북구","65세 이상",47772,21088,26684
"2020.05","해운대구","65세 이상",68676,29503,39173
"2020.05","사하구","65세 이상",58019,25727,32292
"2020.05","금정구","65세 이상",47928,20867,27061
"2020.05","강서구","65세 이상",15921,7495,8426
"2020.05","연제구","65세 이상",39328,17346,21982
"2020.05","수영구","65세 이상",36869,15930,20939
"2020.05","사상구","65세 이상",37903,17007,20896
"2020.05","기장군","65세 이상",26480,11315,15165
"2020.06","중구","65세 이상",11151,4781,6370
"2020.06","서구","65세 이상",26842,11322,15520
"2020.06","동구","65세 이상",23218,9668,13550
"2020.06","영도구","65세 이상",30999,13176,17823
"2020.06","부산진구","65세 이상",69517,29927,39590
"2020.06","동래구","65세 이상",48874,21625,27249
"2020.06","남구","65세 이상",53072,23101,29971
"2020.06","북구","65세 이상",47928,21151,26777
"2020.06","해운대구","65세 이상",68893,29586,39307
"2020.06","사하구","65세 이상",58252,25834,32418
"2020.06","금정구","65세 이상",48002,20898,27104
"2020.06","강서구","65세 이상",15950,7522,8428
"2020.06","연제구","65세 이상",39435,17381,22054
"2020.06","수영구","65세 이상",36969,15967,21002
"2020.06","사상구","65세 이상",38012,17066,20946
"2020.06","기장군","65세 이상",26661,11395,15266
"2020.07","중구","65세 이상",11183,4791,6392
"2020.07","서구","65세 이상",26920,11364,15556
"2020.07","동구","65세 이상",23269,9694,13575
"2020.07","영도구","65세 이상",31092,13206,17886
"2020.07","부산진구","65세 이상",69722,30032,39690
"2020.07","동래구","65세 이상",49074,21696,27378
"2020.07","남구","65세 이상",53233,23171,30062
"2020.07","북구","65세 이상",48097,21208,26889
"2020.07","해운대구","65세 이상",69178,29706,39472
"2020.07","사하구","65세 이상",58480,25934,32546
"2020.07","금정구","65세 이상",48106,20910,27196
"2020.07","강서구","65세 이상",16018,7569,8449
"2020.07","연제구","65세 이상",39579,17450,22129
"2020.07","수영구","65세 이상",37054,16005,21049
"2020.07","사상구","65세 이상",38154,17118,21036
"2020.07","기장군","65세 이상",26842,11492,15350
"2020.08","중구","65세 이상",11230,4803,6427
"2020.08","서구","65세 이상",27017,11407,15610
"2020.08","동구","65세 이상",23343,9709,13634
"2020.08","영도구","65세 이상",31185,13240,17945
"2020.08","부산진구","65세 이상",69941,30130,39811
"2020.08","동래구","65세 이상",49281,21767,27514
"2020.08","남구","65세 이상",53448,23288,30160
"2020.08","북구","65세 이상",48359,21347,27012
"2020.08","해운대구","65세 이상",69469,29820,39649
"2020.08","사하구","65세 이상",58775,26059,32716
"2020.08","금정구","65세 이상",48288,20998,27290
"2020.08","강서구","65세 이상",16151,7626,8525
"2020.08","연제구","65세 이상",39825,17561,22264
"2020.08","수영구","65세 이상",37155,16052,21103
"2020.08","사상구","65세 이상",38347,17201,21146
"2020.08","기장군","65세 이상",27047,11589,15458
"2020.09","중구","65세 이상",11276,4813,6463
"2020.09","서구","65세 이상",27110,11451,15659
"2020.09","동구","65세 이상",23403,9736,13667
"2020.09","영도구","65세 이상",31290,13287,18003
"2020.09","부산진구","65세 이상",70157,30237,39920
"2020.09","동래구","65세 이상",49528,21868,27660
"2020.09","남구","65세 이상",53606,23343,30263
"2020.09","북구","65세 이상",48650,21484,27166
"2020.09","해운대구","65세 이상",69791,29960,39831
"2020.09","사하구","65세 이상",59040,26181,32859
"2020.09","금정구","65세 이상",48476,21059,27417
"2020.09","강서구","65세 이상",16338,7724,8614
"2020.09","연제구","65세 이상",40045,17671,22374
"2020.09","수영구","65세 이상",37336,16130,21206
"2020.09","사상구","65세 이상",38567,17303,21264
"2020.09","기장군","65세 이상",27220,11664,15556
"2020.10","중구","65세 이상",11309,4828,6481
"2020.10","서구","65세 이상",27202,11488,15714
"2020.10","동구","65세 이상",23454,9761,13693
"2020.10","영도구","65세 이상",31407,13332,18075
"2020.10","부산진구","65세 이상",70525,30413,40112
"2020.10","동래구","65세 이상",49687,21946,27741
"2020.10","남구","65세 이상",53743,23394,30349
"2020.10","북구","65세 이상",48854,21587,27267
"2020.10","해운대구","65세 이상",70093,30085,40008
"2020.10","사하구","65세 이상",59342,26312,33030
