address_gu,gu_pop_ratio,gu_area,gu_density,year,month
중구,1.3,2.83,15523,2020,5
서구,3.2,13.98,7849,2020,5
동구,2.7,9.87,9321,2020,5
영도구,3.4,14.2,8272,2020,5
부산진구,10.4,29.67,12132,2020,5
동래구,7.9,16.63,16465,2020,5
남구,8.0,26.82,10350,2020,5
북구,8.4,39.37,7405,2020,5
해운대구,11.9,51.47,7971,2020,5
사하구,9.3,41.77,7732,2020,5
금정구,7.0,65.27,3694,2020,5
강서구,3.9,181.49,752,2020,5
연제구,6.1,12.1,17449,2020,5
수영구,5.2,10.21,17505,2020,5
사상구,6.4,36.09,6137,2020,5
기장군,4.9,218.3,780,2020,5
중구,1.3,2.83,15489,2020,6
서구,3.2,13.98,7856,2020,6
동구,2.7,9.87,9321,2020,6
영도구,3.4,14.2,8252,2020,6
부산진구,10.4,29.67,12137,2020,6
동래구,7.9,16.63,16463,2020,6
남구,8.0,26.82,10318,2020,6
북구,8.4,39.37,7402,2020,6
해운대구,11.8,51.47,7952,2020,6
사하구,9.3,41.77,7719,2020,6
금정구,7.0,65.27,3687,2020,6
강서구,4.0,181.49,754,2020,6
연제구,6.1,12.1,17429,2020,6
수영구,5.2,10.21,17493,2020,6
사상구,6.4,36.09,6120,2020,6
기장군,5.0,218.3,785,2020,6
중구,1.3,2.83,15449,2020,7
서구,3.2,13.98,7860,2020,7
동구,2.7,9.87,9319,2020,7
영도구,3.4,14.2,8232,2020,7
부산진구,10.4,29.67,12139,2020,7
동래구,7.9,16.63,16459,2020,7
남구,8.0,26.82,10295,2020,7
북구,8.4,39.37,7387,2020,7
해운대구,11.8,51.47,7941,2020,7
사하구,9.3,41.77,7707,2020,7
금정구,7.0,65.27,3677,2020,7
강서구,4.0,181.49,755,2020,7
연제구,6.1,12.1,17398,2020,7
수영구,5.2,10.21,17503,2020,7
사상구,6.4,36.09,6109,2020,7
기장군,5.0,218.3,789,2020,7
중구,1.3,2.83,15449,2020,8
서구,3.2,13.98,7859,2020,8
동구,2.7,9.87,9319,2020,8
영도구,3.4,14.2,8222,2020,8
부산진구,10.4,29.67,12153,2020,8
동래구,7.9,16.63,16464,2020,8
남구,8.0,26.82,10275,2020,8
북구,8.4,39.37,7370,2020,8
해운대구,11.8,51.47,7939,2020,8
사하구,9.3,41.77,7693,2020,8
금정구,6.9,65.27,3661,2020,8
강서구,4.0,181.49,756,2020,8
연제구,6.1,12.1,17383,2020,8
수영구,5.2,10.21,17479,2020,8
사상구,6.4,36.09,6096,2020,8
기장군,5.0,218.3,795,2020,8
중구,1.3,2.83,15439,2020,9
서구,3.2,13.98,7846,2020,9
동구,2.7,9.87,9312,2020,9
영도구,3.4,14.2,8203,2020,9
부산진구,10.5,29.67,12155,2020,9
동래구,7.9,16.63,16441,2020,9
남구,8.0,26.82,10253,2020,9
북구,8.4,39.37,7347,2020,9
해운대구,11.8,51.47,7923,2020,9
사하구,9.3,41.77,7669,2020,9
금정구,6.9,65.27,3652,2020,9
강서구,4.0,181.49,763,2020,9
연제구,6.1,12.1,17449,2020,9
수영구,5.2,10.21,17497,2020,9
사상구,6.4,36.09,6079,2020,9
기장군,5.1,218.3,799,2020,9
중구,1.3,2.83,15422,2020,10
서구,3.2,13.98,7841,2020,10
동구,2.7,9.87,9285,2020,10
영도구,3.4,14.2,8184,2020,10
부산진구,10.5,29.67,12148,2020,10
동래구,7.9,16.63,16429,2020,10
남구,8.0,26.82,10247,2020,10
북구,8.4,39.37,7333,2020,10
해운대구,11.8,51.47,7916,2020,10
사하구,9.3,41.77,7644,2020,10
금정구,6.9,65.27,3649,2020,10
강서구,4.1,181.49,773,2020,10
연제구,6.1,12.1,17466,2020,10
수영구,5.2,10.21,17529,2020,10
사상구,6.3,36.09,6066,2020,10
기장군,5.1,218.3,801,2020,10
중구,1.3,2.83,15322,2021,5
서구,3.2,13.96,7769,2021,5
동구,2.6,9.86,9154,2021,5
영도구,3.3,14.2,7972,2021,5
부산진구,10.5,29.67,12134,2021,5
동래구,7.9,16.63,16249,2021,5
남구,7.9,26.82,10090,2021,5
북구,8.3,39.37,7222,2021,5
해운대구,11.8,51.5,7855,2021,5
사하구,9.2,41.77,7494,2021,5
금정구,6.9,65.26,3588,2021,5
강서구,4.2,181.49,795,2021,5
연제구,6.1,12.1,17183,2021,5
수영구,5.2,10.21,17430,2021,5
사상구,6.3,36.1,5969,2021,5
기장군,5.2,218.3,817,2021,5
중구,1.3,2.83,15271,2021,6
서구,3.2,13.96,7769,2021,6
동구,2.6,9.86,9142,2021,6
영도구,3.3,14.2,7984,2021,6
부산진구,10.5,29.67,12117,2021,6
