"구·군별","내외국인별","시점","세대수[세대]","인구[명]","남자인구[명]","여자인구[명]",
"중구","총인구","2020.01 월","23189","44107","21902","22205",
"중구","총인구","2020.02 월","23272","44115","21899","22216",
"중구","총인구","2020.03 월","23305","44031","21839","22192",
"중구","총인구","2020.04 월","23313","43931","21791","22140",
"중구","총인구","2020.05 월","23406","43835","21755","22080",
"중구","총인구","2020.06 월","23456","43722","21702","22020",
"중구","총인구","2020.07 월","23544","43721","21688","22033",
"중구","총인구","2020.08 월","23626","43691","21663","22028",
"중구","총인구","2020.09 월","23682","43644","21660","21984",
"중구","총인구","2020.10 월","23723","43645","21649","21996",
"중구","총인구","2020.11 월","23773","43571","21609","21962",
"중구","총인구","2020.12 월","23847","43617","21621","21996",
"중구","총인구","2021.01 월","23923","43657","21599","22058",
"중구","총인구","2021.02 월","24010","43629","21598","22031",
"중구","총인구","2021.03 월","23951","43438","21511","21927",
"중구","총인구","2021.04 월","24006","43362","21452","21910",
"중구","총인구","2021.05 월","24022","43216","21366","21850",
"중구","총인구","2021.06 월","23583","42619","21140","21479",
"중구","총인구","2021.07 월","23714","42734","21213","21521",
"중구","총인구","2021.08 월","23820","42768","21216","21552",
"중구","총인구","2021.09 월","23878","42760","21217","21543",
"중구","총인구","2021.10 월","23909","42734","21189","21545",
"중구","총인구","2021.11 월","23898","42602","21119","21483",
"중구","총인구","2021.12 월","23925","42609","21120","21489",
"중구","총인구","2022.01 월","23979","42636","21149","21487",
"중구","총인구","2022.02 월","24129","42680","21156","21524",
"중구","총인구","2022.03 월","24218","42725","21157","21568",
"중구","총인구","2022.04 월","24269","42773","21193","21580",
"중구","총인구","2022.05 월","24303","42680","21186","21494",
"중구","총인구","2022.06 월","24304","42692","21173","21519",
"중구","총인구","2022.07 월","24275","42594","21124","21470",
"중구","총인구","2022.08 월","24265","42455","21055","21400",
"중구","총인구","2022.09 월","24107","42267","20951","21316",
"중구","총인구","2022.10 월","24056","42136","20846","21290",
"중구","총인구","2022.11 월","24012","42001","20778","21223",
"중구","총인구","2022.12 월","23960","41909","20725","21184",
"중구","총인구","2023.01 월","23965","41913","20703","21210",
"중구","총인구","2023.02 월","24123","41957","20738","21219",
"중구","총인구","2023.03 월","24099","41862","20698","21164",
"중구","총인구","2023.04 월","24061","41890","20662","21228",
"중구","총인구","2023.05 월","24066","41732","20594","21138",
"중구","총인구","2023.06 월","24040","41733","20591","21142",
"중구","총인구","2023.07 월","23983","41645","20550","21095",
"중구","총인구","2023.08 월","23931","41483","20513","20970",
"중구","총인구","2023.09 월","23874","41359","20468","20891",
"중구","총인구","2023.10 월","23798","41376","20453","20923",
"중구","총인구","2023.11 월","23766","41164","20364","20800",
"중구","총인구","2023.12 월","23747","41153","20333","20820",
"중구","총인구","2024.01 월","23729","41103","20324","20779",
"중구","총인구","2024.02 월","23829","40983","20296","20687",
"중구","총인구","2024.03 월","23824","40970","20296","20674",
"중구","총인구","2024.04 월","23819","41069","20304","20765",
"중구","총인구","2024.05 월","23772","40814","20199","20615",
"중구","총인구","2024.06 월","23751","40782","20216","20566",
"중구","총인구","2024.07 월","23735","40773","20191","20582",
"중구","총인구","2024.08 월","23705","40633","20149","20484",
"중구","총인구","2024.09 월","23694","40543","20105","20438",
"중구","총인구","2024.10 월","23621","40481","20033","20448",
"중구","총인구","2024.11 월","23564","40348","19988","20360",
"중구","총인구","2024.12 월","23529","40346","19981","20365",
"중앙동","총인구","2020.01 월","1346","2534","1473","1061",
"중앙동","총인구","2020.02 월","1409","2600","1502","1098",
"중앙동","총인구","2020.03 월","1467","2653","1523","1130",
"중앙동","총인구","2020.04 월","1476","2635","1500","1135",
"중앙동","총인구","2020.05 월","1534","2674","1503","1171",
"중앙동","총인구","2020.06 월","1581","2728","1527","1201",
"중앙동","총인구","2020.07 월","1634","2799","1559","1240",
"중앙동","총인구","2020.08 월","1674","2855","1582","1273",
"중앙동","총인구","2020.09 월","1692","2878","1601","1277",
"중앙동","총인구","2020.10 월","1708","2901","1614","1287",
"중앙동","총인구","2020.11 월","1732","2889","1596","1293",
"중앙동","총인구","2020.12 월","1766","2934","1614","1320",
"중앙동","총인구","2021.01 월","1813","2963","1620","1343",
"중앙동","총인구","2021.02 월","1856","3023","1661","1362",
"중앙동","총인구","2021.03 월","1814","2972","1620","1352",
"중앙동","총인구","2021.04 월","1834","3000","1621","1379",
"중앙동","총인구","2021.05 월","1826","2980","1597","1383",
"중앙동","총인구","2021.06 월","1888","3040","1641","1399",
"중앙동","총인구","2021.07 월","1974","3127","1682","1445",
"중앙동","총인구","2021.08 월","2081","3241","1739","1502",
"중앙동","총인구","2021.09 월","2114","3268","1743","1525",
"중앙동","총인구","2021.10 월","2157","3311","1766","1545",
"중앙동","총인구","2021.11 월","2164","3303","1757","1546",
"중앙동","총인구","2021.12 월","2226","3380","1790","1590",
