"시점","구·군별",읍면동수 (개),세대수 (세대),인구수  (명),남자인구수 (명),여자인구수 (명),시전체 인구에 대한 구성비 (%),면적 (㎢),인구밀도 (명/㎢)
"2020.01","중구",9,23189,44107,21902,22205,1.3,2.83,15586
"2020.01","서구",13,52735,110097,53795,56302,3.2,13.98,7875
"2020.01","동구",12,44734,90632,44480,46152,2.6,9.87,9183
"2020.01","영도구",11,54852,118353,58647,59706,3.4,14.20,8335
"2020.01","부산진구",20,166981,360439,174373,186066,10.4,29.67,12148
"2020.01","동래구",13,112473,272820,132832,139988,7.9,16.63,16405
"2020.01","남구",17,117212,280052,137258,142794,8.1,26.82,10442
"2020.01","북구",13,120406,293482,145311,148171,8.5,39.37,7454
"2020.01","해운대구",18,168851,411497,198570,212927,11.9,51.47,7995
"2020.01","사하구",16,138670,325219,162775,162444,9.4,41.77,7786
"2020.01","금정구",16,106857,243328,118742,124586,7.0,65.27,3728
"2020.01","강서구",8,54087,135812,71980,63832,3.9,181.49,748
"2020.01","연제구",12,90601,211026,101888,109138,6.1,12.10,17440
"2020.01","수영구",10,81608,177861,84307,93554,5.1,10.21,17420
"2020.01","사상구",12,96652,222840,112913,109927,6.4,36.09,6175
"2020.01","기장군",5,69244,166943,83126,83817,4.8,218.30,765
"2020.02","중구",9,23272,44115,21899,22216,1.3,2.83,15588
"2020.02","서구",13,52806,109971,53679,56292,3.2,13.98,7866
"2020.02","동구",12,44894,90778,44557,46221,2.6,9.87,9197
"2020.02","영도구",11,54824,118055,58463,59592,3.4,14.20,8314
"2020.02","부산진구",20,167266,359945,174090,185855,10.4,29.67,12132
"2020.02","동래구",13,112724,272785,132783,140002,7.9,16.63,16403
"2020.02","남구",17,117208,279203,136804,142399,8.1,26.82,10410
"2020.02","북구",13,120435,292797,144945,147852,8.5,39.37,7437
"2020.02","해운대구",18,168916,410898,198269,212629,11.9,51.47,7983
"2020.02","사하구",16,138770,324510,162456,162054,9.4,41.77,7769
"2020.02","금정구",16,107042,242911,118501,124410,7.0,65.27,3722
"2020.02","강서구",8,54359,136226,72139,64087,3.9,181.49,751
"2020.02","연제구",12,90948,211562,102142,109420,6.1,12.10,17484
"2020.02","수영구",10,82083,178637,84582,94055,5.2,10.21,17496
"2020.02","사상구",12,96781,222476,112720,109756,6.4,36.09,6164
"2020.02","기장군",5,70005,168560,83878,84682,4.9,218.30,772
"2020.03","중구",9,23305,44031,21839,22192,1.3,2.83,15559
"2020.03","서구",13,52792,109756,53507,56249,3.2,13.98,7851
"2020.03","동구",12,45356,91585,44918,46667,2.6,9.87,9279
"2020.03","영도구",11,54837,117765,58299,59466,3.4,14.20,8293
"2020.03","부산진구",20,167761,359790,173899,185891,10.4,29.67,12126
"2020.03","동래구",13,113266,273573,133179,140394,7.9,16.63,16451
"2020.03","남구",17,117299,278619,136448,142171,8.0,26.82,10388
"2020.03","북구",13,120496,292106,144564,147542,8.4,39.37,7420
"2020.03","해운대구",18,169141,410223,197881,212342,11.9,51.47,7970
"2020.03","사하구",16,138864,323758,162020,161738,9.4,41.77,7751
"2020.03","금정구",16,107184,242147,118010,124137,7.0,65.27,3710
"2020.03","강서구",8,54611,136491,72232,64259,3.9,181.49,752
"2020.03","연제구",12,91106,211385,101999,109386,6.1,12.10,17470
"2020.03","수영구",10,82334,178715,84577,94138,5.2,10.21,17504
"2020.03","사상구",12,96859,221983,112448,109535,6.4,36.09,6151
"2020.03","기장군",5,70686,169797,84487,85310,4.9,218.30,778
"2020.04","중구",9,23313,43931,21791,22140,1.3,2.83,15523
"2020.04","서구",13,52884,109730,53489,56241,3.2,13.98,7849
"2020.04","동구",12,45578,91994,45109,46885,2.7,9.87,9321
"2020.04","영도구",11,54812,117469,58138,59331,3.4,14.20,8272
"2020.04","부산진구",20,168189,359968,173926,186042,10.4,29.67,12132
"2020.04","동래구",13,113547,273819,133324,140495,7.9,16.63,16465
"2020.04","남구",17,117167,277599,136018,141581,8.0,26.82,10350
"2020.04","북구",13,120449,291527,144265,147262,8.4,39.37,7405
"2020.04","해운대구",18,169357,410242,197838,212404,11.9,51.47,7971
"2020.04","사하구",16,138813,322960,161595,161365,9.3,41.77,7732
"2020.04","금정구",16,107101,241100,117535,123565,7.0,65.27,3694
"2020.04","강서구",8,54725,136516,72206,64310,3.9,181.49,752
"2020.04","연제구",12,91122,211136,101828,109308,6.1,12.10,17449
"2020.04","수영구",10,82464,178722,84504,94218,5.2,10.21,17505
"2020.04","사상구",12,96924,221480,112219,109261,6.4,36.09,6137
"2020.04","기장군",5,71059,170313,84740,85573,4.9,218.30,780
