EMD_CD,EMD_ENG_NM,address_gu,sub_address,EMD_KOR_NM,lat,lon,latitude,longitude
26110101,Yeongju-dong,중구,영주동,영주동,35.112,129.032,35.112082,129.032093
26110102,Daechang-dong 1(il)-ga,중구,중앙동,대창동1가,35.108,129.036,35.107816,129.036114
26110103,Daechang-dong 2(i)-ga,중구,대창동,대창동2가,35.111,129.037,35.110661,129.037417
26110104,Jungang-dong 1(il)-ga,중구,중앙동,중앙동1가,35.101,129.036,35.100752,129.035748
26110105,Jungang-dong 2(i)-ga,중구,중앙동,중앙동2가,35.102,129.036,35.102111,129.035556
26110106,Jungang-dong 3(sam)-ga,중구,중앙동,중앙동3가,35.103,129.036,35.103411,129.035518
26110107,Jungang-dong 4(sa)-ga,중구,중앙동,중앙동4가,35.107,129.039,35.107143,129.038764
26110108,Jungang-dong 5(o)-ga,중구,중앙동,중앙동5가,35.102,129.037,35.102185,129.037167
26110109,Jungang-dong 6(yuk)-ga,중구,중앙동,중앙동6가,35.1,129.037,35.099881,129.037151
26110110,Jungang-dong 7(chil)-ga,중구,중앙동,중앙동7가,35.098,129.037,35.097637,129.036974
26110111,Donggwang-dong 1(il)-ga,중구,동광동,동광동1가,35.099,129.036,35.099108,129.035696
26110112,Donggwang-dong 2(i)-ga,중구,동광동,동광동2가,35.1,129.034,35.100201,129.034322
26110113,Donggwang-dong 3(sam)-ga,중구,동광동,동광동3가,35.102,129.034,35.101666,129.034018
26110114,Donggwang-dong 4(sa)-ga,중구,동광동,동광동4가,35.103,129.034,35.103287,129.034218
26110115,Donggwang-dong 5(o)-ga,중구,동광동,동광동5가,35.107,129.034,35.107492,129.033953
26110116,Daecheong-dong 1(il)-ga,중구,대청동,대청동1가,35.104,129.033,35.104373,129.03284
26110117,Daecheong-dong 2(i)-ga,중구,대청동,대청동2가,35.103,129.031,35.102988,129.031018
26110118,Daecheong-dong 3(sam)-ga,중구,대청동,대청동3가,35.103,129.029,35.102997,129.028918
26110119,Daecheong-dong 4(sa)-ga,중구,대청동,대청동4가,35.106,129.03,35.106153,129.029866
26110120,Bosu-dong 1(il)-ga,중구,보수동,보수동1가,35.107,129.026,35.106811,129.025856
26110121,Bosu-dong 2(i)-ga,중구,보수동,보수동2가,35.105,129.023,35.10509,129.023445
26110122,Bosu-dong 3(sam)-ga,중구,보수동,보수동3가,35.104,129.022,35.104274,129.022287
26110123,Bupyeong-dong 1(il)-ga,중구,부평동,부평동1가,35.101,129.027,35.100729,129.02711
26110124,Bupyeong-dong 2(i)-ga,중구,부평동,부평동2가,35.101,129.026,35.100585,129.025755
26110125,Bupyeong-dong 3(sam)-ga,중구,부평동,부평동3가,35.101,129.025,35.101365,129.02454
26110126,Bupyeong-dong 4(sa)-ga,중구,부평동,부평동4가,35.102,129.023,35.102164,129.022692
26110127,Sinchang-dong 1(il)-ga,중구,신창동,신창동1가,35.101,129.03,35.101319,129.030368
26110128,Sinchang-dong 2(i)-ga,중구,신창동,신창동2가,35.101,129.029,35.101254,129.029453
26110129,Sinchang-dong 3(sam)-ga,중구,신창동,신창동3가,35.101,129.029,35.101307,129.028847
26110130,Sinchang-dong 4(sa)-ga,중구,신창동,신창동4가,35.101,129.028,35.101256,129.02823
26110131,Changseon-dong 1(il)-ga,중구,창선동,창선동1가,35.1,129.03,35.099515,129.030309
26110132,Changseon-dong 2(i)-ga,중구,창선동,창선동2가,35.1,129.029,35.099553,129.028611
26110133,Gwangbok-dong 1(il)-ga,중구,광복동,광복동1가,35.099,129.034,35.098729,129.034458
26110134,Gwangbok-dong 2(i)-ga,중구,광복동,광복동2가,35.1,129.032,35.100096,129.03245
26110135,Gwangbok-dong 3(sam)-ga,중구,광복동,광복동3가,35.101,129.031,35.100573,129.03134
26110136,Nampo-dong 1(il)-ga,중구,남포동,남포동1가,35.097,129.035,35.097276,129.034901
26110137,Nampo-dong 2(i)-ga,중구,남포동,남포동2가,35.098,129.032,35.098283,129.032479
26110138,Nampo-dong 3(sam)-ga,중구,남포동,남포동3가,35.099,129.029,35.098933,129.029255
26110139,Nampo-dong 4(sa)-ga,중구,남포동,남포동4가,35.097,129.032,35.097382,129.032018
26110140,Nampo-dong 5(o)-ga,중구,남포동,남포동5가,35.098,129.029,35.097593,129.029441
26110141,Nampo-dong 6(yuk)-ga,중구,남포동,남포동6가,35.097,129.027,35.097217,129.026998
26140101,Dongdaesin-dong 1(il)-ga,서구,동대신동,동대신동1가,35.11,129.022,35.109985,129.022228
26140102,Dongdaesin-dong 2(i)-ga,서구,동대신동,동대신동2가,35.113,129.023,35.113377,129.023152
26140103,Dongdaesin-dong 3(sam)-ga,서구,동대신동,동대신동3가,35.124,129.022,35.123728,129.021632
26140104,Seodaesin-dong 1(il)-ga,서구,서대신동,서대신동1가,35.108,129.015,35.107511,129.015073
26140105,Seodaesin-dong 2(i)-ga,서구,서대신동,서대신동2가,35.11,129.011,35.109601,129.011202
26140106,Seodaesin-dong 3(sam)-ga,서구,서대신동,서대신동3가,35.126,129.01,35.125841,129.009884
26140107,Buyong-dong 1(il)-ga,서구,부용동,부용동1가,35.107,129.021,35.106525,129.020958
26140108,Buyong-dong 2(i)-ga,서구,부용동,부용동2가,35.106,129.018,35.106443,129.017666
26140109,Bumin-dong 1(il)-ga,서구,부민동,부민동1가,35.104,129.021,35.103561,129.02059
26140110,Bumin-dong 2(i)-ga,서구,부민동,부민동2가,35.104,129.019,35.103655,129.019324
