"시점","구·군별(1)",구·군별(2),1인
"2020.01","중구",소계,12900
"2020.01","중구",중앙동,945
"2020.01","중구",동광동,1251
"2020.01","중구",대청동,1787
"2020.01","중구",보수동,3041
"2020.01","중구",부평동,1522
"2020.01","중구",광복동,424
"2020.01","중구",남포동,483
"2020.01","중구",영주1동,1812
"2020.01","중구",영주2동,1635
"2020.01","서구",소계,24454
"2020.01","서구",동대신1동,1018
"2020.01","서구",동대신2동,1442
"2020.01","서구",동대신3동,1641
"2020.01","서구",서대신1동,2196
"2020.01","서구",서대신3동,1072
"2020.01","서구",서대신4동,835
"2020.01","서구",부민동,2206
"2020.01","서구",아미동,2389
"2020.01","서구",초장동,1564
"2020.01","서구",충무동,2987
"2020.01","서구",남부민1동,1430
"2020.01","서구",남부민2동,2390
"2020.01","서구",암남동,3284
"2020.01","동구",소계,21448
"2020.01","동구",초량1동,1555
"2020.01","동구",초량2동,1835
"2020.01","동구",초량3동,2355
"2020.01","동구",초량6동,1506
"2020.01","동구",수정1동,847
"2020.01","동구",수정2동,2323
"2020.01","동구",수정4동,1226
"2020.01","동구",수정5동,1263
"2020.01","동구",좌천동,2300
"2020.01","동구",범일1동,2935
"2020.01","동구",범일2동,2287
"2020.01","동구",범일5동,1016
"2020.01","영도구",소계,22523
"2020.01","영도구",남항동,2495
"2020.01","영도구",영선1동,694
"2020.01","영도구",영선2동,1467
"2020.01","영도구",신선동,2461
"2020.01","영도구",봉래1동,1540
"2020.01","영도구",봉래2동,1178
"2020.01","영도구",청학1동,1416
"2020.01","영도구",청학2동,2651
"2020.01","영도구",동삼1동,4617
"2020.01","영도구",동삼2동,920
"2020.01","영도구",동삼3동,3084
"2020.01","부산진구",소계,70847
"2020.01","부산진구",부전1동,6034
"2020.01","부산진구",부전2동,3085
"2020.01","부산진구",연지동,2350
"2020.01","부산진구",초읍동,3284
"2020.01","부산진구",양정1동,3192
"2020.01","부산진구",양정2동,4674
"2020.01","부산진구",전포1동,6086
"2020.01","부산진구",전포2동,5513
"2020.01","부산진구",부암1동,3065
"2020.01","부산진구",부암3동,1807
"2020.01","부산진구",당감1동,3468
"2020.01","부산진구",당감2동,1423
"2020.01","부산진구",당감4동,1819
"2020.01","부산진구",가야1동,4855
"2020.01","부산진구",가야2동,2232
"2020.01","부산진구",개금1동,4289
"2020.01","부산진구",개금2동,1764
"2020.01","부산진구",개금3동,3721
"2020.01","부산진구",범천1동,3975
"2020.01","부산진구",범천2동,4211
"2020.01","동래구",소계,36291
"2020.01","동래구",수민동,3710
"2020.01","동래구",복산동,2033
"2020.01","동래구",명륜동,2395
"2020.01","동래구",온천1동,5284
"2020.01","동래구",온천2동,1954
"2020.01","동래구",온천3동,5925
"2020.01","동래구",사직1동,1653
"2020.01","동래구",사직2동,1493
"2020.01","동래구",사직3동,2375
"2020.01","동래구",안락1동,2550
"2020.01","동래구",안락2동,2930
"2020.01","동래구",명장1동,2075
"2020.01","동래구",명장2동,1914
"2020.01","남구",소계,40893
"2020.01","남구",대연1동,4843
"2020.01","남구",대연3동,6359
"2020.01","남구",대연4동,1812
"2020.01","남구",대연5동,2917
"2020.01","남구",대연6동,1474
"2020.01","남구",용호1동,3788
"2020.01","남구",용호2동,1764
"2020.01","남구",용호3동,1981
"2020.01","남구",용호4동,1147
"2020.01","남구",용당동,1058
"2020.01","남구",감만1동,2362
"2020.01","남구",감만2동,1231
"2020.01","남구",우암동,2004
"2020.01","남구",문현1동,1856
"2020.01","남구",문현2동,2831
"2020.01","남구",문현3동,1794
"2020.01","남구",문현4동,1672
"2020.01","북구",소계,37968
"2020.01","북구",구포1동,3356
"2020.01","북구",구포2동,4428
"2020.01","북구",구포3동,3407
"2020.01","북구",금곡동,6930
"2020.01","북구",화명1동,1896
"2020.01","북구",화명2동,1642
"2020.01","북구",화명3동,1847
