영화명,장르,개봉연도,관객수,스크린수,배급사,예산,국내매출액,세계매출액,세계흥행지수,국내흥행지수,유형
어벤져스: 엔드게임,Action Adventure Sci-Fi,2019,13934592,2835,월트디즈니컴퍼니코리아유한책임회사,356000000.0,104816668.5,2799439100,424.46955383558884,3.7442024904203133,C (글로벌 의존)
겨울왕국 2,Adventure Animation Comedy Drama Family Fantasy Musical,2019,13747792,2648,월트디즈니컴퍼니코리아유한책임회사,150000000.0,98492228.96,1453683476,220.41714587607495,6.775355886345646,A (글로벌 동조)
아바타,Action Adventure Fantasy Sci-Fi,2009,13624328,912,주식회사해리슨앤컴퍼니 이십세기폭스코리아(주),237000000.0,100632323.3,2923710708,443.3124406132263,3.4419384593915163,C (글로벌 의존)
알라딘,Adventure Comedy Family Fantasy Musical Romance,2019,12555894,1311,월트디즈니컴퍼니코리아유한책임회사,183000000.0,91777863.87,1054304000,159.86057653016158,8.705066458061433,A (글로벌 동조)
어벤져스: 인피니티 워,Action Adventure Sci-Fi,2018,11211880,2553,월트디즈니컴퍼니코리아유한책임회사,,90815646.38,2052415039,311.20080300721054,4.424818794167879,C (글로벌 의존)
아바타: 물의 길,Action Adventure Fantasy Sci-Fi,2022,10805065,2809,월트디즈니컴퍼니코리아유한책임회사,,106543417.6,2320250281,351.8117617071826,4.5918933173916505,C (글로벌 의존)
어벤져스: 에이지 오브 울트론,Action Adventure Sci-Fi,2015,10494499,1843,월트디즈니컴퍼니코리아유한책임회사 월트디즈니컴퍼니코리아(주),250000000.0,78286363.8,1405018048,213.038170384028,5.571911614333939,A (글로벌 동조)
겨울왕국,Adventure Animation Comedy Family Fantasy Musical,2014,10296101,1010,월트디즈니컴퍼니코리아유한책임회사 소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),150000000.0,78296149.26,1286319131,195.04025203682852,6.086837035466591,A (글로벌 동조)
인터스텔라,Adventure Drama Sci-Fi,2014,10275484,1342,워너브러더스코리아(주),165000000.0,78134342.2,758690230,115.03765287393475,10.298582888038508,A (글로벌 동조)
보헤미안 랩소디,Biography Drama Music,2018,9948386,936,월트디즈니컴퍼니코리아유한책임회사 이십세기폭스코리아(주),52000000.0,78420140.86,910813521,138.10359685491701,8.609900825132788,A (글로벌 동조)
아이언맨 3,Action Adventure Sci-Fi,2013,9001309,1381,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),200000000.0,64660826.09,1215577205,184.31389125738158,5.319351648256681,A (글로벌 동조)
인사이드 아웃 2,Adventure Animation Comedy Drama Family Fantasy,2024,8799013,2619,월트디즈니컴퍼니코리아유한책임회사,,61866240.14,1698863816,257.5930178316599,3.6416244526100376,C (글로벌 의존)
캡틴 아메리카: 시빌 워,Action Sci-Fi,2016,8677249,1991,월트디즈니컴퍼니코리아유한책임회사 월트디즈니컴퍼니코리아(주),250000000.0,62626776.82,1155046416,175.13581090544744,5.42201386476576,A (글로벌 동조)
탑건: 매버릭,Action Drama,2022,8177446,1975,롯데컬처웍스(주)롯데엔터테인먼트,,68002663.42,1495696292,226.78740814143256,4.5465555931190345,C (글로벌 의존)
스파이더맨: 파 프롬 홈,Action Adventure Comedy Fantasy Sci-Fi,2019,8021064,2142,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,160000000.0,59200870.82,1132723226,171.75102053816028,5.226419787387674,A (글로벌 동조)
트랜스포머 3,Action Adventure Comedy Sci-Fi Thriller,2011,7784807,1409,(주)씨제이이엔엠,195000000.0,67539640.02,1123794079,170.3971239510824,6.009965818657779,A (글로벌 동조)
미션임파서블:고스트프로토콜,Action Adventure Thriller,2011,7575899,1038,(주)씨제이이엔엠,145000000.0,52157137.83,694713380,105.33705785998842,7.507720353680247,A (글로벌 동조)
스파이더맨: 노 웨이 홈,Action Adventure Fantasy Sci-Fi,2021,7551990,2948,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,,65688750.07,1921426073,291.33938578423715,3.4187498021944456,C (글로벌 의존)
트랜스포머: 패자의 역습,Action Adventure Sci-Fi,2009,7505700,1129,씨제이엔터테인먼트,200000000.0,40331033.89,836304167,126.80599361398282,4.822531739220666,C (글로벌 의존)
트랜스포머,Action Adventure Sci-Fi,2007,7440531,160,롯데컬처웍스(주)롯데엔터테인먼트 씨제이엔터테인먼트,150000000.0,36079196.0,709709780,107.61091165346441,5.083654899049017,C (글로벌 의존)
스파이더맨: 홈 커밍,Action Adventure Sci-Fi,2017,7258678,1965,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,175000000.0,52284862.42,880978185,133.57976500572448,5.934864598264712,A (글로벌 동조)
엘리멘탈,Adventure Animation Comedy Family Fantasy Romance,2023,7240110,1251,월트디즈니컴퍼니코리아유한책임회사,,54584633.08,496444308,75.27418400385194,10.995117115936397,B (국내 특화)
어벤져스,Action Sci-Fi,2012,7074867,967,월트디즈니컴퍼니코리아유한책임회사 한국소니픽쳐스릴리징브에나비스타영화(주),220000000.0,52852461.67,1520538536,230.554154211013,3.4759041233533066,C (글로벌 의존)
미션 임파서블: 폴아웃,Action Adventure Thriller,2018,6584915,1957,롯데컬처웍스(주)롯데엔터테인먼트,178000000.0,50796530.86,824171374,124.96633893762656,6.163345690286011,A (글로벌 동조)
다크 나이트 라이즈,Action Crime Drama Thriller,2012,6396528,1210,워너브러더스코리아(주),250000000.0,42280687.21,1114976407,169.06012994406555,3.7920701231483545,C (글로벌 의존)
킹스맨 : 시크릿 에이전트,Action Adventure Comedy Thriller,2015,6129681,706,이십세기폭스코리아(주),81000000.0,44514467.08,414351546,62.826734063158035,10.74316423088717,B (국내 특화)
미션 임파서블: 로그네이션,Action Adventure Thriller,2015,6126488,1202,롯데쇼핑(주)롯데엔터테인먼트,150000000.0,42904547.52,710916403,107.7938678486743,6.035104456578421,A (글로벌 동조)
반지의 제왕 : 왕의 귀환,Adventure Drama Fantasy,2003,5960000,105,워너브러더스코리아(주) 씨제이엔터테인먼트,94000000.0,28770329.0,1138585547,172.63990459329509,2.5268482527119236,C (글로벌 의존)
인셉션,Action Adventure Sci-Fi Thriller,2010,5926948,528,(주)디스테이션 워너브러더스코리아(주),160000000.0,38145542.39,839381898,127.27265963447098,4.5444799894886465,C (글로벌 의존)
레미제라블,Drama Musical Romance,2012,5911890,696,유니버설픽쳐스인터내셔널코리아(유),61000000.0,38198726.56,442757529,67.13383791488009,8.627459514076383,B (국내 특화)
닥터 스트레인지: 대혼돈의 멀티버스,Action Adventure Fantasy Sci-Fi,2022,5884587,2691,월트디즈니컴퍼니코리아유한책임회사,,48491980.18,955775804,144.9210769009875,5.073572691111984,C (글로벌 의존)
캡틴 마블,Action Adventure Sci-Fi,2019,5801069,2100,월트디즈니컴퍼니코리아유한책임회사,160000000.0,44172733.7,1131416446,171.55287787323812,3.9041975972832907,C (글로벌 의존)
미션 임파서블 3,Action Adventure Thriller,2006,5740789,134,UIP코리아,150000000.0,37618495.0,398479497,60.42010855110935,9.440509557760258,B (국내 특화)
쥬라기 월드: 폴른 킹덤,Action Adventure Sci-Fi,2018,5661128,1972,유니버설픽쳐스인터내셔널코리아(유),170000000.0,45236231.22,1310469037,198.70202121944493,3.451911486864073,C (글로벌 의존)
쥬라기 월드,Action Adventure Sci-Fi,2015,5546792,1290,유니버설픽쳐스인터내셔널코리아(유),150000000.0,42244678.69,1671537444,253.44961177192982,2.527294787301217,C (글로벌 의존)
2012,Action Adventure Sci-Fi,2009,5462953,789,한국소니픽쳐스릴리징브에나비스타영화(주),200000000.0,30879948.81,791217826,119.96970306979873,3.9028378526446397,C (글로벌 의존)
앤트맨과 와스프,Action Adventure Comedy Sci-Fi,2018,5447826,1775,월트디즈니컴퍼니코리아유한책임회사,,43140990.32,622674139,94.41398956179809,6.928341425787076,A (글로벌 동조)
닥터 스트레인지,Action Adventure Fantasy Sci-Fi,2016,5446379,1503,월트디즈니컴퍼니코리아(주),165000000.0,40919105.82,677796833,102.7720586222737,6.037075393062511,A (글로벌 동조)
