RESPOND_ID,EXAMIN_BEGIN_DE,LSR_CLTUR_ACT_WHOLE_SATSFC_VALUE,LSR_CLTUR_ACT_SATSFC_IMPRTY_RESN_CN,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,HSHLD_INCOME_DGREE_NM,ANSWRR_OC_AREA_NM
"53358130","20240101","만족하는 편이다","책을 읽고 엽서 보내기하여 상품권을 받앗지요 또 서점에 가서 책을 사와서 읽으면 기쁨이 만족 하답니다","F","60대","없음/모름/무응답","서울"
"53358211","20240101","보통이다","작년과 그리 크게 바뀐게 없다.","M","40대","300~500만원 미만","경기"
"53358297","20240101","보통이다","늘 생활이 일정해서","F","60대","없음/모름/무응답","경기"
"53358362","20240101","보통이다","항상같으니까","M","60대","300만원 미만","충북"
"53358395","20240101","만족하는 편이다","시간적여유가 있어서 언제든지 여가를 즐길수 있다","M","60대","300~500만원 미만","경북"
"53358598","20240101","만족하는 편이다","시간적 여유가 있다","M","50대","700만원 이상","광주"
"53358618","20240101","만족하는 편이다","원하는건 다 할수있움","F","30대","700만원 이상","충북"
"53358654","20240101","만족하는 편이다","날씨가 좋았고 마음이 잘맞는 사람과 함께 해서 좋았어요","M","50대","300~500만원 미만","서울"
"53358677","20240101","만족하는 편이다","스트레스 해소 충족","F","40대","300만원 미만","경남"
"53358696","20240101","만족하는 편이다","Dk","M","19~29세","없음/모름/무응답","강원"
"53359151","20240101","보통이다","특별히 더 하고싶은 활동이 없기 때문에","F","60대","300~500만원 미만","서울"
"53359334","20240101","보통이다","시간이 부족하다","F","50대","700만원 이상","강원"
"53359382","20240101","만족하는 편이다","즐겁게 생활하니까","F","60대","없음/모름/무응답","울산"
"53359486","20240101","매우 만족한다","ㅁㅁㅁ","M","19~29세","300~500만원 미만","서울"
"53359978","20240101","보통이다","다양한 취미활동을 위한 여건부족","M","40대","500~700만원 미만","경남"
"53360124","20240101","만족하는 편이다","교통편리","F","40대","700만원 이상","서울"
"53360292","20240101","불만족하는 편이다","시간적으로 여유가없고쉬고싶음","F","60대","300만원 미만","전북"
"53360511","20240101","만족하는 편이다","경제적으로도 육체적으로 편안함","M","30대","300~500만원 미만","대전"
