영화명,장르,개봉연도,관객수,스크린수,배급사,예산,국내매출액,세계매출액
어벤져스: 엔드게임,Action Adventure Sci-Fi,2019,13934592,2835,월트디즈니컴퍼니코리아유한책임회사,356000000.0,104816668.5,2799439100
겨울왕국 2,Adventure Animation Comedy Drama Family Fantasy Musical,2019,13747792,2648,월트디즈니컴퍼니코리아유한책임회사,150000000.0,98492228.96,1453683476
아바타,Action Adventure Fantasy Sci-Fi,2009,13624328,912,주식회사해리슨앤컴퍼니 이십세기폭스코리아(주),237000000.0,100632323.3,2923710708
알라딘,Adventure Comedy Family Fantasy Musical Romance,2019,12555894,1311,월트디즈니컴퍼니코리아유한책임회사,183000000.0,91777863.87,1054304000
어벤져스: 인피니티 워,Action Adventure Sci-Fi,2018,11211880,2553,월트디즈니컴퍼니코리아유한책임회사,,90815646.38,2052415039
아바타: 물의 길,Action Adventure Fantasy Sci-Fi,2022,10805065,2809,월트디즈니컴퍼니코리아유한책임회사,,106543417.6,2320250281
어벤져스: 에이지 오브 울트론,Action Adventure Sci-Fi,2015,10494499,1843,월트디즈니컴퍼니코리아유한책임회사 월트디즈니컴퍼니코리아(주),250000000.0,78286363.8,1405018048
겨울왕국,Adventure Animation Comedy Family Fantasy Musical,2014,10296101,1010,월트디즈니컴퍼니코리아유한책임회사 소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),150000000.0,78296149.26,1286319131
인터스텔라,Adventure Drama Sci-Fi,2014,10275484,1342,워너브러더스코리아(주),165000000.0,78134342.2,758690230
보헤미안 랩소디,Biography Drama Music,2018,9948386,936,월트디즈니컴퍼니코리아유한책임회사 이십세기폭스코리아(주),52000000.0,78420140.86,910813521
아이언맨 3,Action Adventure Sci-Fi,2013,9001309,1381,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),200000000.0,64660826.09,1215577205
인사이드 아웃 2,Adventure Animation Comedy Drama Family Fantasy,2024,8799013,2619,월트디즈니컴퍼니코리아유한책임회사,,61866240.14,1698863816
캡틴 아메리카: 시빌 워,Action Sci-Fi,2016,8677249,1991,월트디즈니컴퍼니코리아유한책임회사 월트디즈니컴퍼니코리아(주),250000000.0,62626776.82,1155046416
탑건: 매버릭,Action Drama,2022,8177446,1975,롯데컬처웍스(주)롯데엔터테인먼트,,68002663.42,1495696292
스파이더맨: 파 프롬 홈,Action Adventure Comedy Fantasy Sci-Fi,2019,8021064,2142,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,160000000.0,59200870.82,1132723226
트랜스포머 3,Action Adventure Comedy Sci-Fi Thriller,2011,7784807,1409,(주)씨제이이엔엠,195000000.0,67539640.02,1123794079
미션임파서블:고스트프로토콜,Action Adventure Thriller,2011,7575899,1038,(주)씨제이이엔엠,145000000.0,52157137.83,694713380
스파이더맨: 노 웨이 홈,Action Adventure Fantasy Sci-Fi,2021,7551990,2948,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,,65688750.07,1921426073
트랜스포머: 패자의 역습,Action Adventure Sci-Fi,2009,7505700,1129,씨제이엔터테인먼트,200000000.0,40331033.89,836304167
트랜스포머,Action Adventure Sci-Fi,2007,7440531,160,롯데컬처웍스(주)롯데엔터테인먼트 씨제이엔터테인먼트,150000000.0,36079196.0,709709780
스파이더맨: 홈 커밍,Action Adventure Sci-Fi,2017,7258678,1965,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,175000000.0,52284862.42,880978185
엘리멘탈,Adventure Animation Comedy Family Fantasy Romance,2023,7240110,1251,월트디즈니컴퍼니코리아유한책임회사,,54584633.08,496444308
어벤져스,Action Sci-Fi,2012,7074867,967,월트디즈니컴퍼니코리아유한책임회사 한국소니픽쳐스릴리징브에나비스타영화(주),220000000.0,52852461.67,1520538536
미션 임파서블: 폴아웃,Action Adventure Thriller,2018,6584915,1957,롯데컬처웍스(주)롯데엔터테인먼트,178000000.0,50796530.86,824171374
다크 나이트 라이즈,Action Crime Drama Thriller,2012,6396528,1210,워너브러더스코리아(주),250000000.0,42280687.21,1114976407
킹스맨 : 시크릿 에이전트,Action Adventure Comedy Thriller,2015,6129681,706,이십세기폭스코리아(주),81000000.0,44514467.08,414351546
